iso_o,iso_d,dist,cty_code_o,cty_code_d
SAU,NLD,4669.6719,682,528
SAU,RUS,3539.5164,682,643
SAU,SAU,551.91571,682,682
SAU,TUR,2459.9333,682,792
SAU,USA,10527.397,682,842
TUR,AUS,14960.313,792,36
TUR,BRA,10590.761,792,76
TUR,CAN,8197.2305,792,124
TUR,CHE,1837.1543,792,757
TUR,CHN,7064.1968,792,156
TUR,DEU,2038.3323,792,276
TUR,ESP,2740.0291,792,724
TUR,FRA,2255.8101,792,251
TUR,GBR,2501.8857,792,826
TUR,IDN,9452.7607,792,360
TUR,IND,4558.3135,792,699
TUR,ITA,1373.2697,792,381
TUR,JPN,8958.8438,792,392
TUR,KOR,7967.7007,792,410
TUR,MEX,11437.283,792,484
TUR,NLD,2209.7888,792,528
TUR,RUS,1757.7096,792,643
TUR,SAU,2459.9333,792,682
TUR,TUR,332.30847,792,792
TUR,USA,8070.7505,792,842
USA,AUS,16008.793,842,36
USA,BRA,7694.3071,842,76
USA,CAN,548.39459,842,124
USA,CHE,6272.2852,842,757
USA,CHN,10993.685,842,156
USA,DEU,6035.3345,842,276
USA,ESP,5770.2642,842,724
USA,FRA,5838.1572,842,251
USA,GBR,5570.1611,842,826
USA,IDN,16180.323,842,360
USA,IND,11761.807,842,699
USA,ITA,6895.1069,842,381
USA,JPN,10855.587,842,392
USA,KOR,11065.702,842,410
USA,MEX,3369.0527,842,484
USA,NLD,5866.0459,842,528
USA,RUS,7517.9722,842,643
USA,SAU,10527.397,842,682
USA,TUR,8070.7505,842,792
USA,USA,1161.074,842,842
